Date,Open,High,Low,Close,Adj Close,Volume
2009-06-10,88.550003,88.580002,86.580002,87.650002,65.288002,25155700
2009-06-11,87.860001,89.019997,87.800003,87.860001,65.444382,21696400
2009-06-12,87.599998,88.330002,87.370003,88.309998,65.779610,12743500
2009-06-15,87.230003,87.279999,86.000000,86.489998,64.423943,14006100
2009-06-16,86.690002,86.760002,85.220001,85.260002,63.507790,12830900
2009-06-17,85.220001,85.860001,84.830002,85.230003,63.485420,13494000
2009-06-18,85.279999,86.150002,84.980003,85.620003,63.775898,13378600
2009-06-19,85.959999,86.099998,84.919998,85.309998,63.755764,13880400
2009-06-22,84.580002,84.769997,83.320000,83.320000,62.268497,20652400
2009-06-23,83.419998,83.709999,82.849998,83.180000,62.163902,12151100
2009-06-24,83.739998,84.279999,82.580002,83.029999,62.051762,15355500
2009-06-25,82.690002,84.900002,82.570000,84.720001,63.314789,13851400
2009-06-26,84.459999,84.690002,84.019997,84.269997,62.978470,7779000
2009-06-29,84.510002,85.349998,84.300003,85.250000,63.710915,7529200
2009-06-30,85.330002,85.639999,83.959999,84.660004,63.269936,13421400
2009-07-01,84.980003,85.830002,84.930000,85.029999,63.546494,9144200
2009-07-02,84.000000,84.040001,82.949997,82.989998,62.021954,16516500
2009-07-06,82.209999,83.309998,82.080002,83.250000,62.216236,12392700
2009-07-07,83.160004,83.190002,81.540001,81.550003,60.945709,15240600
2009-07-08,81.930000,82.279999,80.959999,81.930000,61.229698,17902700
2009-07-09,82.239998,82.410004,81.529999,81.769997,61.110142,11452000
2009-07-10,81.410004,81.940002,81.019997,81.440002,60.863514,16023500
2009-07-13,81.690002,83.389999,81.389999,83.309998,62.261074,14384000
2009-07-14,83.540001,83.709999,82.930000,83.660004,62.522667,10288300
2009-07-15,84.589996,86.360001,84.540001,86.199997,64.420883,11620000
2009-07-16,86.110001,87.500000,86.029999,87.230003,65.190651,11805400
2009-07-17,87.220001,87.540001,86.720001,87.459999,65.457077,9075000
2009-07-20,87.879997,88.540001,87.540001,88.330002,66.108170,13142300
2009-07-21,89.129997,89.269997,88.099998,89.169998,66.736893,14599300
2009-07-22,88.760002,89.529999,88.629997,88.879997,66.519798,11857700
2009-07-23,88.900002,91.000000,88.839996,90.629997,67.829536,16519600
2009-07-24,90.400002,91.029999,90.070000,90.970001,68.084023,10895100
2009-07-27,90.860001,91.269997,90.370003,91.139999,68.211258,10045200
2009-07-28,90.610001,91.279999,90.080002,90.989998,68.098999,11700400
2009-07-29,90.680000,90.949997,90.160004,90.680000,67.867004,9063600
2009-07-30,91.580002,92.480003,91.269997,91.419998,68.420807,11659200
2009-07-31,91.470001,92.209999,91.360001,91.669998,68.607933,9151300
2009-08-03,92.470001,93.000000,91.970001,92.860001,69.498535,9843400
